"","ASPEN-WW-12-A","ASPEN-WW-19-B","ASPEN-WW-12-B","ASPEN-WW-15-A","ASPEN-WW-17-B","ASPEN-WW-18-B","ASPEN-WW-20-B","ASPEN-WW-19-A","ASPEN-WW-10-A","ASPEN-WW-11-B","ASPEN-WW-17-A","ASPEN-WW-20-A","ASPEN-WW-13-B","ASPEN-WW-15-B","ASPEN-WW-16-A","ASPEN-WW-18-A","ASPEN-WW-10-B","ASPEN-WW-16-B","ASPEN-WW-13-A","ASPEN-WW-14-A","ASPEN-WW-11-A","ASPEN-WW-8-A","ASPEN-WW-8-B","ASPEN-VV-9-A","ASPEN-VV-9-B","ASPEN-VV-7-A","ASPEN-VV-7-B","ASPEN-WW-3-A","ASPEN-WW-3-B","ASPEN-WW-4-A","ASPEN-WW-4-B","ASPEN-WW-5-B","ASPEN-WW-6-A","ASPEN-WW-6-B","ASPEN-WW-7-A","ASPEN-WW-7-B","ASPEN-WW-9-A","ASPEN-WW-9-B","ASPEN-VV-8-A","ASPEN-WW-5-A","ASPEN-VV-10-A","ASPEN-VV-10-B","ASPEN-WW-2-A","ASPEN-WW-2-B","ASPEN-VV-8-B","ASPEN-VV-19-B","ASPEN-VV-6-A","ASPEN-VV-6-B","ASPEN-WW-1-A","ASPEN-WW-1-B","ASPEN-TT-1-A","ASPEN-TT-1-B","ASPEN-TT-2-A","ASPEN-TT-2-B","ASPEN-TT-3-A","ASPEN-TT-3-B","ASPEN-TT-4-A","ASPEN-TT-4-B","ASPEN-TT-5-A","ASPEN-TT-5-B","ASPEN-TT-6-A","ASPEN-TT-6-B","ASPEN-TT-7-A","ASPEN-TT-7-B","ASPEN-TT-8-A","ASPEN-TT-8-B","ASPEN-TT-10-A","ASPEN-TT-10-B","ASPEN-VV-16-A","ASPEN-VV-18-A","ASPEN-VV-18-B","ASPEN-VV-20-A","ASPEN-VV-20-B","ASPEN-TT-14-A","ASPEN-TT-15-A","ASPEN-VV-12-A","ASPEN-VV-12-B","ASPEN-VV-16-B","ASPEN-VV-17-A","ASPEN-VV-19-A","ASPEN-TT-12-B","ASPEN-TT-15-B","ASPEN-TT-13-B","ASPEN-TT-14-B","ASPEN-TT-18-A","ASPEN-TT-20-B","ASPEN-VV-4-A","ASPEN-VV-4-B","ASPEN-VV-14-A","ASPEN-VV-14-B","ASPEN-VV-17-B","ASPEN-TT-11-A","ASPEN-TT-12-A","ASPEN-TT-16-B","ASPEN-TT-17-A","ASPEN-TT-19-A","ASPEN-TT-20-A","ASPEN-VV-1-A","ASPEN-VV-1-B","ASPEN-VV-2-A","ASPEN-VV-2-B","ASPEN-VV-3-A","ASPEN-VV-3-B","ASPEN-TT-11-B","ASPEN-TT-17-B","ASPEN-VV-11-A","ASPEN-VV-11-B","ASPEN-VV-13-A","ASPEN-VV-13-B","ASPEN-VV-15-A","ASPEN-VV-15-B","ASPEN-TT-13-A","ASPEN-TT-16-A","ASPEN-TT-18-B","ASPEN-TT-19-B","ASPEN-UU-4-A","ASPEN-UU-4-B","ASPEN-UU-5-A","ASPEN-UU-5-B","ASPEN-UU-8-B","ASPEN-UU-9-A","ASPEN-UU-9-B","ASPEN-VV-5-A","ASPEN-VV-5-B","ASPEN-UU-1-A","ASPEN-UU-1-B","ASPEN-UU-2-A","ASPEN-UU-2-B","ASPEN-UU-10-A","ASPEN-UU-10-B","ASPEN-UU-6-A","ASPEN-UU-6-B","ASPEN-UU-13-A","ASPEN-UU-14-B","ASPEN-UU-11-B","ASPEN-UU-20-B","ASPEN-UU-12-A","ASPEN-UU-13-B","ASPEN-UU-14-A","ASPEN-UU-19-A","ASPEN-UU-19-B","ASPEN-UU-17-A","ASPEN-UU-17-B","ASPEN-UU-18-A","ASPEN-UU-18-B","ASPEN-UU-12-B","ASPEN-UU-16-A"
"1959",1.003,1.867,0.944,2.543,1.727,1.588,1.595,1.24,1.182,1.674,1.813,1.702,0.774,1.27,1.524,2.256,0.419,0.986,0.991,0.904,1.112,1.226,1.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1960",0.588,1.355,0.832,1.382,1.367,0.781,0.524,1.097,0.664,1.47,1.975,0.629,0.854,1.188,0.783,1.427,0.334,0.906,0.678,0.407,0.803,1.222,1.607,1.403,1.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1961",0.939,1.281,1.224,1.636,1.59,0.549,0.724,1.012,0.923,1.535,1.469,0.811,0.527,0.87,1.042,1.204,0.542,1.429,1.031,0.639,1.187,1.457,1.668,0.852,1.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1962",1.328,1.747,0.97,2.21,2.472,1.69,1.58,1.467,1.324,2.48,2.539,1.867,1.45,1.759,1.708,2.529,0.892,1.493,2.687,1.382,1.689,2.438,3.196,0.703,2.088,1.955,1.918,2.537,2.662,3.119,2.741,2.175,1.799,1.779,3.376,3.77,2.136,2.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963",1.296,1.539,1.517,3.091,1.751,1.336,1.449,1.127,1.316,2.786,1.952,1.643,1.51,2.054,1.733,1.99,1.314,1.267,2.696,1.562,2.09,2.43,2.031,1.997,1.841,1.254,1.067,2.363,2.683,1.29,2.139,2.068,1.316,0.808,1.67,2.023,2.374,2.356,0.864,2.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1964",1.213,1.633,1.542,2.694,1.92,1.163,1.379,1.015,1.455,3.121,2.107,1.579,1.224,2.285,1.026,1.817,1.096,1.5,2.103,2.382,2.299,1.881,1.948,1.871,2.236,1.852,1.86,2.026,2.362,1.805,1.824,2.081,1.577,1.531,2.03,2.454,1.385,1.51,0.571,0.875,0.953,1.187,3.444,3.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1965",1.373,1.895,1.417,3.317,1.913,1.137,1.828,1.327,1.683,3.283,2.091,1.498,1.444,2.202,1.147,2.054,1.21,1.705,2.216,2.905,2.241,2.104,2.691,2.253,1.941,2.387,1.741,1.26,1.259,2.024,2.219,2.086,1.391,1.62,1.85,2.407,1.123,1.149,0.653,2.654,0.604,0.439,2.692,3.377,0.765,2.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1966",1.361,1.463,1.432,2.447,1.429,1.32,1.763,1.492,1.863,3.746,2.303,2.198,1.973,2.539,2.291,2.007,1.445,1.689,2.338,2.711,2.208,2.668,2.987,1.245,1.445,1.189,1.267,1.15,1.923,1.637,1.709,1.896,1.453,1.403,2.169,3.143,0.935,0.821,0.834,2.311,0.86,0.802,2.724,2.713,0.494,2.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1967",1.044,0.633,1.634,1.495,0.928,1.692,1.809,0.754,2.223,3.684,1.638,1.799,1.25,2.041,2.012,1.674,1.564,1.647,1.856,1.113,2.055,1.905,1.896,1.437,0.33,1.748,1.445,1.334,1.038,1.139,1.287,1.578,1.356,1.907,1.938,2.673,0.915,0.95,0.451,1.265,0.55,0.52,2.156,1.707,0.821,2.707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1968",1.221,0.649,1.301,1.209,0.954,1.47,1.8,0.695,1.591,3.065,1.681,1.921,1.311,1.729,1.39,1.951,1.189,2.017,1.65,1.655,2.243,2.47,3.309,0.505,0.294,2.408,1.858,0.818,0.949,1.676,1.584,1.87,1.138,1.715,1.999,3.604,1.058,1.076,0.614,0.727,0.808,0.892,2.769,2.319,0.424,0.976,1.227,1.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1969",0.477,0.898,1.081,1.234,0.659,0.608,1.665,0.465,1.603,2.732,1.138,1.593,1.22,2.013,0.959,1.182,0.8,1.391,1.466,1.293,1.892,1.867,2.465,0.369,1.13,3.938,3.077,1.569,1.358,1.586,1.865,1.428,0.603,1.191,1.419,2.306,0.937,0.991,0.97,1.143,1.21,0.777,1.535,1.055,0.988,3.102,1.616,0.858,1.262,1.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1970",0.869,1.083,1.109,1.177,0.721,1.428,1.339,0.903,1.371,2.542,0.929,1.525,1.247,1.512,0.835,1.361,1.072,1.202,1.097,1.241,2.099,1.506,1.805,2.254,2.011,4.614,3.32,0.874,1.592,1.246,1.816,1.48,0.904,1.587,2.225,2.539,1.413,1.389,1.312,1.502,0.917,1.097,1.837,1.504,1.036,3.603,1.562,0.477,1.155,1.435,2.022,2.041,2.374,2.584,1.719,1.583,2.485,2.295,2.751,2.793,2.946,2.885,1.986,1.856,1.164,1.124,2.031,2.238,3.359,3.339,3.675,1.703,1.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971",0.657,0.855,0.95,1.418,0.702,1.663,1.41,1.144,1.667,2.179,1.339,1.313,1.395,2.054,1.041,1.593,0.926,1.714,1.53,1.134,1.335,1.604,3.581,2.475,1.75,3.791,3.67,1.303,1.205,1.143,1.925,1.398,1.363,1.958,1.881,2.382,1.492,1.694,1.232,0.97,1.38,1.851,1.962,1.858,0.935,1.635,1.276,1.111,1.62,2.437,2.86,2.853,3.053,2.773,1.892,2.374,3.766,3.174,2.844,2.996,3.292,3.672,1.959,2.587,2.079,2.162,0.651,1.389,1.788,2.307,2.076,1.206,1.226,1.601,2.036,4.755,1.066,4.308,4.859,2.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972",0.899,0.893,1.171,2.16,0.738,1.793,1.733,1.003,2.197,2.731,1.445,1.534,1.949,2.522,1.243,1.421,1.13,1.173,2.338,1.794,1.767,2.353,4.03,1.999,2.181,3.402,3.099,1.979,1.821,1.814,2.615,1.265,1.203,1.57,2.429,2.898,1.848,1.712,1.113,1.107,0.821,1.188,1.925,1.861,1.359,3.065,1.014,1.392,1.689,1.861,3.751,1.904,3.219,2.774,1.373,1.913,2.785,1.997,2.353,2.309,2.354,2.516,1.862,3.035,1.721,1.918,1.515,1.892,2.098,1.896,2.267,2.36,2.307,2.529,3.196,0.624,3.121,1.46,2.179,2.738,4.246,3.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973",0.847,1.067,1.427,2.538,1.113,1.734,1.532,1.07,2.678,2.792,1.619,1.613,1.683,2.149,1.073,1.593,1.478,1.297,1.871,1.388,2.048,2.242,3.436,2.954,2.939,3.852,3.379,2.06,2.242,1.435,2.296,1.67,1.295,1.443,2.728,2.507,1.474,1.745,1.889,1.862,1.306,1.987,2.091,2.964,1.687,2.718,1.46,1.341,2.13,1.57,3.161,1.52,2.122,2.067,1.294,1.74,1.462,1.591,1.91,2.037,1.658,2.213,1.378,2.079,1.973,1.652,1.115,2.495,1.809,1.861,2.113,3.206,3.143,2.364,2.424,2.916,2.896,1.295,1.916,2.294,2.67,2.603,1.995,2.393,1.117,4.599,2.198,2.334,2.58,2.535,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1974",0.892,1.119,1.773,2.158,1.027,1.271,1.43,1.21,2.342,2.854,1.466,1.743,1.822,1.852,1.505,1.777,1.427,1.666,2.098,1.704,2.569,2.656,3.695,2.774,2.703,3.484,2.846,1.529,1.978,1.389,2.567,1.833,1.617,1.933,2.68,2.926,1.406,1.982,1.607,1.362,0.979,1.298,2.888,4.058,1.436,2.555,0.547,0.566,2.676,2.414,1.395,0.653,1.44,1.314,1.259,0.864,1.099,0.997,1.394,1.178,1.185,1.928,1.319,1.19,0.882,1.14,0.665,1.179,2.613,2.416,2.332,2.572,2.578,1.367,2.957,3.698,4.07,1.319,2.05,2.726,2.177,2.901,1.434,2.052,2.247,3.271,0.879,0.932,2.558,2.676,4.069,2.053,2.467,3.191,1.755,2.653,2.942,1.809,1.655,1.355,1.305,1.71,1.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1975",0.795,0.878,1.177,1.589,1.142,1.202,1.263,0.865,2.031,2.115,1.21,1.676,1.054,1.713,1.267,1.815,1.367,1.344,1.789,1.862,2.005,2.062,2.464,3.806,3.427,4.753,3.993,1.914,1.926,1.271,2.224,1.463,1.409,1.372,1.48,1.879,1.311,1.191,1.982,1.16,1.203,1.955,2.408,3.504,1.815,3.831,0.907,0.957,2.609,1.44,1.831,0.449,1.067,1.342,1.227,1.162,1.04,1.047,0.912,0.984,1.152,1.838,1.208,1.189,1.068,0.904,0.54,0.962,4.01,3.355,3.282,3.581,3.534,3.097,3.925,5.402,0.407,1.935,3.34,4.517,3.152,3.728,2.006,3.423,2.629,3.138,1.138,1.09,2.612,2.849,4.962,3.173,2.716,5.127,2.645,2.993,3.112,1.556,1.681,0.432,0.489,0.557,0.592,2.439,3.149,3.173,2.46,3.125,2.238,3.699,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1976",1.043,0.881,1.528,1.924,1.085,1.559,1.622,1.276,1.678,2.644,1.348,1.62,1.177,1.884,1.476,2.122,1.558,1.643,2.063,1.738,2.306,2.218,2.554,4.548,4.157,4.511,5.315,1.86,1.274,1.723,1.69,1.583,0.933,1.143,1.777,1.822,1.135,1.615,2.097,0.906,1.113,1.497,2.334,3.388,1.522,3.481,2.231,1.891,3.125,2.485,1.286,0.387,0.805,1.179,0.722,0.752,0.73,0.998,0.683,0.454,0.788,1.462,1.029,0.945,1.15,0.887,0.383,1.147,2.762,2.617,3.163,3.516,3.463,4.004,3.876,4.815,3.855,1.816,3.414,3.385,2.462,4.042,2.053,3.566,2.084,2.952,1.256,1.064,2.403,1.881,4.15,1.896,2.874,2.63,2.365,3.193,2.437,0.31,0.672,0.531,0.575,0.761,0.38,1.828,2.449,2.182,2.853,2.289,2.768,2.651,2.9,2.392,2.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1977",1.364,0.824,1.14,1.861,1.317,1.221,1.809,0.528,1.98,2.47,1.629,2.383,2.102,2.049,0.889,1.892,1.443,1.561,2.161,2.242,2.066,2.566,3.528,4.232,3.969,4.085,4.229,2.504,2.046,1.97,2.539,1.88,1.277,1.461,1.673,1.882,1.888,1.573,1.969,1.177,1.462,2.042,2.764,3.713,1.613,3.922,2.127,1.681,2.714,2.086,0.856,0.431,1.133,0.9,1.1,0.949,0.959,1.155,0.896,0.389,1.177,1.507,1.376,1.904,1.825,1.606,0.928,0.867,3.19,3.419,3.415,4.189,4.196,3.002,3.65,4.764,4.847,2.225,3.774,3.916,1.789,4.063,2.262,3.165,2.751,2.653,1.476,1.144,2.307,2.429,4.977,2.334,2.345,2.684,2.801,3.452,2.373,0.391,0.527,0.699,0.695,0.646,0.381,1.725,3.197,2.896,4.611,2.362,2.864,3.291,2.908,2.725,2.673,3.462,3.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1978",1.129,0.354,1.044,1.652,1.419,1.585,1.737,0.985,1.885,2.818,1.647,1.877,2.205,2.077,1.569,1.815,1.412,2.011,2.135,2.253,2.21,2.729,3.195,4.014,3.45,5.609,5.838,2.258,2.464,1.617,2.71,2.672,1.742,1.649,2.299,2.049,1.658,1.64,2.743,1.787,1.885,2.777,3.342,3.175,2.525,3.922,3.401,2.441,2.636,2.073,1.112,0.59,2.102,2.175,1.082,0.994,0.935,1.032,1.056,1.605,1.775,1.594,1.929,2.332,2.501,1.826,1.25,0.917,3.613,3.061,3.207,4.293,4.267,2.48,4.473,5.94,5.97,2.829,4.118,3.9,1.893,4.653,2.713,3.52,4.315,3.206,1.71,1.659,2.832,2.792,5.212,2.675,2.401,3.682,3.712,4.381,2.718,0.404,1.29,0.889,0.91,0.768,0.919,2.217,4.369,3.848,2.82,2.683,2.545,3.779,3.517,2.864,3.997,4.193,5.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1979",0.972,0.874,1.063,1.47,1.285,1.369,2.01,0.75,1.59,2.68,1.361,1.836,1.859,2.549,1.413,2.42,0.935,1.815,2.015,2.477,1.767,2.216,3.029,2.562,1.843,4.316,3.917,0.7,2.387,1.033,2.644,2.715,1.844,1.243,1.507,1.717,1.533,1.707,2.089,1.652,1.123,1.642,3.998,3.059,1.657,2.727,2.951,2.413,3.409,2.153,1.118,0.415,1.334,0.755,0.942,0.922,0.8,0.819,0.566,0.623,1.215,1.141,1.761,1.795,1.909,1.491,0.793,0.428,2.933,2.598,2.681,2.926,2.841,2.119,2.903,3.805,3.817,2.822,2.493,2.989,1.571,3.211,1.885,2.461,3.81,2.586,1.023,0.821,2.109,2.042,3.353,2.551,1.751,2.917,2.573,2.476,2.377,0.609,0.773,0.492,0.697,0.752,0.806,2.098,2.8,2.599,2.061,1.724,1.377,2.952,2.349,1.976,3.269,3.592,3.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980",0.828,0.743,1.015,0.899,0.697,1.278,1.463,0.667,0.818,1.716,0.716,1.44,0.642,1.612,0.734,1.618,0.637,1.258,1.122,1.446,1.731,0.887,1.864,1.587,0.667,2.905,2.3,0.671,1.085,0.803,1.219,0.911,0.608,0.664,0.9,0.776,0.629,0.759,1.062,1.317,0.617,0.952,2.287,1.7,0.616,1.24,1.711,0.91,1.397,1.114,1.726,0.265,0.824,1.632,1.038,0.907,0.893,0.581,0.757,0.705,0.94,1.156,2.062,2.105,1.03,1.329,0.627,0.314,0.893,0.854,0.957,1.112,1.119,2.315,2.803,2.744,2.238,0.769,1.317,1.059,1.497,2.358,2.016,2.031,3.571,3.065,0.652,0.883,1.346,1.503,0.924,2.201,1.982,3.481,2.899,2.94,2.547,0.831,1.07,0.984,1.18,0.799,0.705,1.489,3.475,1.889,3.763,1.985,2.437,2.27,1.523,2.553,3.809,2.879,3.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981",0.729,0.414,0.744,0.5,0.569,1.249,1.666,0.626,0.597,1.111,0.681,2.152,0.518,2.54,0.543,1.4,0.511,0.822,1.126,1.92,1.406,1.042,1.828,2.278,1.106,3.804,2.793,1.167,1.37,0.728,1.719,1.313,1.039,0.483,1.889,1.195,0.995,0.74,2.147,1.597,1.136,1.595,2.679,2.076,1.782,2.902,2.669,2.665,1.174,0.949,1.63,0.789,1.619,1.426,1.345,1.391,1.057,0.888,0.942,1.093,1.068,1.946,2.425,2.84,1.403,1.41,0.595,0.419,2.983,2.744,2.436,2.38,2.49,2.306,2.617,2.973,3.91,2.488,2.616,2.495,1.764,1.998,2.155,2.574,4.178,3.127,0.845,1.018,2.146,2.227,2.858,2.908,2.269,3.284,2.814,2.519,2.99,0.757,0.84,1.522,1.529,1.157,0.94,2.536,3.216,3.217,2.826,3.125,2.678,2.854,3.656,2.469,2.882,3.442,3.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
